;Date;canyon;detector
153;09/08/2017;Arugot;proximity loggers
154;09/08/2017;Arugot;proximity loggers
155;10/08/2017;Arugot;proximity loggers
156;10/08/2017;Arugot;proximity loggers
157;10/08/2017;Arugot;proximity loggers
158;10/08/2017;Arugot;proximity loggers
159;10/08/2017;Arugot;proximity loggers
160;10/08/2017;Arugot;proximity loggers
161;10/08/2017;Arugot;proximity loggers
162;10/08/2017;Arugot;proximity loggers
163;10/08/2017;Arugot;proximity loggers
164;10/08/2017;Arugot;proximity loggers
165;10/08/2017;Arugot;proximity loggers
166;10/08/2017;Arugot;proximity loggers
167;10/08/2017;Arugot;proximity loggers
168;11/08/2017;Arugot;proximity loggers
169;11/08/2017;Arugot;proximity loggers
170;11/08/2017;Arugot;proximity loggers
171;11/08/2017;Arugot;proximity loggers
172;11/08/2017;Arugot;proximity loggers
173;11/08/2017;Arugot;proximity loggers
174;11/08/2017;Arugot;proximity loggers
175;11/08/2017;Arugot;proximity loggers
176;11/08/2017;Arugot;proximity loggers
177;11/08/2017;Arugot;proximity loggers
178;11/08/2017;Arugot;proximity loggers
179;11/08/2017;Arugot;proximity loggers
180;11/08/2017;Arugot;proximity loggers
181;11/08/2017;Arugot;proximity loggers
182;11/08/2017;Arugot;proximity loggers
183;11/08/2017;Arugot;proximity loggers
184;11/08/2017;Arugot;proximity loggers
185;11/08/2017;Arugot;proximity loggers
186;11/08/2017;Arugot;proximity loggers
187;11/08/2017;Arugot;proximity loggers
188;11/08/2017;Arugot;proximity loggers
189;11/08/2017;Arugot;proximity loggers
190;11/08/2017;Arugot;proximity loggers
191;11/08/2017;Arugot;proximity loggers
192;11/08/2017;Arugot;proximity loggers
193;11/08/2017;Arugot;proximity loggers
194;11/08/2017;Arugot;proximity loggers
195;11/08/2017;Arugot;proximity loggers
196;11/08/2017;Arugot;proximity loggers
197;12/08/2017;Arugot;proximity loggers
198;12/08/2017;Arugot;proximity loggers
199;12/08/2017;Arugot;proximity loggers
200;12/08/2017;Arugot;proximity loggers
201;12/08/2017;Arugot;proximity loggers
202;12/08/2017;Arugot;proximity loggers
203;12/08/2017;Arugot;proximity loggers
204;12/08/2017;Arugot;proximity loggers
205;12/08/2017;Arugot;proximity loggers
206;12/08/2017;Arugot;proximity loggers
207;12/08/2017;Arugot;proximity loggers
208;12/08/2017;Arugot;proximity loggers
209;12/08/2017;Arugot;proximity loggers
210;12/08/2017;Arugot;proximity loggers
211;12/08/2017;Arugot;proximity loggers
212;12/08/2017;Arugot;proximity loggers
213;12/08/2017;Arugot;proximity loggers
214;12/08/2017;Arugot;proximity loggers
215;12/08/2017;Arugot;proximity loggers
216;12/08/2017;Arugot;proximity loggers
217;12/08/2017;Arugot;proximity loggers
218;12/08/2017;Arugot;proximity loggers
219;12/08/2017;Arugot;proximity loggers
220;13/08/2017;Arugot;proximity loggers
221;13/08/2017;Arugot;proximity loggers
222;13/08/2017;Arugot;proximity loggers
223;13/08/2017;Arugot;proximity loggers
224;13/08/2017;Arugot;proximity loggers
225;13/08/2017;Arugot;proximity loggers
