,parent_ID,offspring.ID,from,to
156,1869,9694,DH07F0056,DH11M0131
157,1499,563,DH07F0046,DH11M0004
158,203046,2615,AC13F0076,AN13M0133
159,3338,203123,AI07F0153,AI12M0077
160,9974,3553,AI07F0230,AC11M0164
161,1484,4063,DW09F0034,DW11F0089
162,1499,4253,DH07F0046,DH11M0095
163,6062,4290,AI07F0190,AN13M0176
164,8735,4433,AI08F0213,AC12F0178
165,8735,8328,AI08F0213,AC11F0206
166,202000,9703,DH10F0038,DH11F0132
167,6632,2020,DH09F0036,DH12M0064
168,3470,2255,AS07F0161,AN14M0122
169,6632,2446,DH09F0036,DH12M0073
170,6062,2667,AI07F0190,AS12M0136
171,5280,3353,AI07F0186,AI12M0155
172,531,203478,DH11F0003,DH12F0041
173,7843,3532,AI08F0202,AI13F0163
174,6062,203828,AI07F0190,AS12F0082
175,203820,4571,AS12F0081,AS13F0182
176,1869,4599,DH07F0056,DH12M0102
177,1932,4629,AC10F0108,AC14F0183
178,9830,8577,DH09F0135,DH12F0116
179,202000,8851,DH10F0038,DH12F0121
180,4147,2285,DW10F0035,DW14F0039
181,223,3325,AC08F0003,AC14F0152
182,2165,203847,AI10F0116,AI13M0083
183,4147,7732,DW10F0035,DW15F0045
184,223,8452,AC08F0003,AC14M0208
185,204399,3375,AC12F0084,AC14F0158
186,4147,4435,DW10F0035,DW14F0098
187,9830,9011,DH09F0135,DH15F0125
188,203820,9413,AS12F0081,AS15M0222
189,8328,2526,AC11F0206,AC15M0129
190,3532,7285,AI13F0163,AI16M0198
191,204399,7527,AC12F0084,AU15M0334
192,531,8175,DH11F0003,DH15F0114
193,531,8834,DH11F0003,DH16M0120
194,4007,454,AS07M0170,AI99F0033
195,398,459,AS00M0011,NA
196,2703,472,AN07M0137,AI00M0039
197,853,504,AI04M0065,AI01M0055
198,434,482,AS99M0024,AS00F0314
199,448,484,AN99M0029,AI00F0049
200,4007,485,AS07M0170,AI00F0050
